Incident_ID,Report_Time,Phone_Number,Tags,Report_Count,Transaction_Amount,Victim_Demographic,Is_Fraud
UID-9214d10d,2026-03-13 01:22:00,+886-905-914-293,"交易糾紛,商品瑕疵",1,500,碩博士,0
UID-e13e7c4c,2026-03-13 07:13:00,+886-901-606-026,"網路購物詐騙,解除分期付款",151,33872,高中職以下,1
UID-227cc389,2026-03-12 14:01:00,+886-903-886-048,"假投資,資金盤",18,4418152,50-69 中高齡,1
UID-10cf9e00,2026-03-12 23:47:00,+886-901-834-023,"網路購物詐騙,解除分期付款",290,22162,學生,1
UID-eb530ae9,2026-03-12 22:14:00,+886-903-885-099,"假投資,資金盤",15,4417398,上班族,1
UID-2440f11a,2026-03-12 21:16:00,+886-904-222-083,"網路交友,要求儲值,點數卡",29,12,大專院校,1
UID-22b7d047,2026-03-12 19:24:00,+886-905-377-488,"正常投資諮詢,理財規劃",1,500,碩博士,0
UID-6ca28ee0,2026-03-12 09:04:00,+886-999-999-999,"機器人測試,惡意灌水",9784,0,未知,0
UID-db1c003b,2026-03-12 18:31:00,+886-905-936-971,"司法文書送達,正常公務",2,500,上班族,0
UID-059d2e2a,2026-03-13 04:15:00,+886-902-165-609,"假檢警,監管帳戶",1,6023196,70+ 長者,1
UID-ccabc06d,2026-03-13 03:24:00,+886-905-599-546,"司法文書送達,正常公務",2,500,學生,0
UID-a6824c55,2026-03-13 08:31:00,+886-905-872-901,"司法文書送達,正常公務",2,15000,70+ 長者,0
UID-0b2e9a1f,2026-03-13 01:34:00,+886-905-859-427,"交易糾紛,商品瑕疵",1,15000,50-69 中高齡,0
UID-c186e50c,2026-03-13 08:14:00,+886-902-163-586,"假冒郵局,普發現金冒領",3,6855955,70+ 長者,1
UID-b3163f6e,2026-03-13 01:40:00,+886-901-624-004,"網路購物詐騙,ATM操作",166,5999,大專院校,1
UID-8b4eb551,2026-03-12 21:48:00,+886-905-193-533,"債務不履行,退款延遲",2,500,70+ 長者,0
UID-224dc224,2026-03-13 00:06:00,+886-904-476-070,"Threads廣告,假兼職",12,139121,大專院校,1
UID-ecafaa02,2026-03-13 04:35:00,+886-903-889-021,"假投資,資金盤",18,3819474,50-69 中高齡,1
UID-00a8fc8c,2026-03-12 11:19:00,+886-903-883-061,"假投資,內線交易,VIP通道",7,1417375,碩博士,1
UID-0a366c48,2026-03-12 20:06:00,+886-905-690-228,"司法文書送達,正常公務",1,15000,大專院校,0
UID-84853abf,2026-03-12 14:07:00,+886-902-134-427,"假檢警,監管帳戶",2,4345705,碩博士,1
UID-34b9aab6,2026-03-13 00:04:00,+886-905-870-217,"債務不履行,退款延遲",1,3000,學生,0
UID-47815f29,2026-03-12 11:37:00,+886-901-348-044,"幽靈包裹,超商取貨",225,31869,大專院校,1
UID-52cc46be,2026-03-13 01:53:00,+886-903-887-081,"假投資,內線交易,VIP通道",9,4570663,50-69 中高齡,1
UID-5f3af58b,2026-03-12 10:32:00,+886-904-256-009,"網路交友,AI濾鏡假冒",15,87665,上班族,1
UID-3a524979,2026-03-13 06:54:00,+886-903-887-049,"假投資,虛擬貨幣,高報酬",18,778733,上班族,1
UID-2a957118,2026-03-13 02:00:00,+886-904-354-008,"Threads廣告,假兼職",20,72463,大專院校,1
UID-8860080d,2026-03-12 17:54:00,+886-903-882-025,"假投資,內線交易,VIP通道",18,3637010,50-69 中高齡,1
UID-557efeff,2026-03-12 19:22:00,+886-905-953-106,"一般客訴,服務態度",2,0,碩博士,0
UID-aab557b9,2026-03-12 23:52:00,+886-904-464-021,"Threads廣告,假兼職",27,34838,碩博士,1
UID-150dd356,2026-03-13 04:32:00,+886-905-828-250,"一般客訴,服務態度",2,3000,學生,0
UID-9f4dc145,2026-03-12 10:29:00,+886-902-178-283,"假檢警,監管帳戶",2,7580997,50-69 中高齡,1
UID-558753ed,2026-03-12 15:42:00,+886-902-182-409,"假冒郵局,普發現金冒領",3,6955276,70+ 長者,1
UID-81998fee,2026-03-12 16:57:00,+886-904-918-016,"Threads廣告,假兼職",24,114631,碩博士,1
UID-111e44e0,2026-03-12 22:20:00,+886-902-135-277,"假冒郵局,普發現金冒領",2,3463822,50-69 中高齡,1
UID-ebdd44f2,2026-03-12 10:37:00,+886-904-939-076,"網路交友,要求儲值,點數卡",8,103823,學生,1
UID-11146d79,2026-03-12 22:00:00,+886-903-882-047,"假投資,保證獲利",18,3906240,50-69 中高齡,1
UID-07143964,2026-03-12 23:30:00,+886-901-277-037,"網路購物詐騙,解除分期付款",158,3351,學生,1
UID-b0947ad3,2026-03-13 01:07:00,+886-903-884-067,"假投資,保證獲利",11,1555826,碩博士,1
UID-a44ee04a,2026-03-12 19:47:00,+886-902-109-572,"假檢警,監管帳戶",3,3090308,50-69 中高齡,1
UID-ad8b0e0d,2026-03-13 07:38:00,+886-903-888-079,"假投資,保證獲利",10,4929204,上班族,1
UID-10678338,2026-03-13 01:54:00,+886-904-337-022,"殺豬盤,平台無法出金",29,17162,碩博士,1
UID-ca7f970a,2026-03-13 08:27:00,+886-902-195-685,"假扣押財產,面交黃金白銀",2,6726421,70+ 長者,1
UID-f8257bfc,2026-03-13 05:16:00,+886-903-880-084,"假投資,保證獲利",19,4904114,碩博士,1
UID-a98f170b,2026-03-12 12:55:00,+886-902-115-566,"假扣押財產,面交黃金白銀",1,5853858,50-69 中高齡,1
UID-ff7cd97a,2026-03-12 20:57:00,+886-905-620-332,"正常投資諮詢,理財規劃",1,500,碩博士,0
UID-e82ff7f0,2026-03-12 16:35:00,+886-904-498-054,"殺豬盤,平台無法出金",23,107479,碩博士,1
UID-24b703a8,2026-03-12 12:10:00,+886-902-184-284,"假檢警,監管帳戶",1,6480726,70+ 長者,1
UID-77dce359,2026-03-12 21:09:00,+886-905-105-119,"債務不履行,退款延遲",1,0,碩博士,0
UID-1fc2d346,2026-03-12 09:57:00,+886-905-999-268,"債務不履行,退款延遲",1,3000,碩博士,0
UID-67775e72,2026-03-12 22:55:00,+886-905-838-121,"交易糾紛,商品瑕疵",2,3000,高中職以下,0
UID-b3c8b419,2026-03-12 20:04:00,+886-905-269-109,"債務不履行,退款延遲",1,15000,學生,0
UID-aef60231,2026-03-12 18:52:00,+886-905-496-142,"一般客訴,服務態度",1,15000,70+ 長者,0
UID-e7aaa9b1,2026-03-12 21:37:00,+886-903-885-020,"假投資,內線交易,VIP通道",8,447407,大專院校,1
UID-5ddb1a3a,2026-03-12 18:01:00,+886-905-431-796,"債務不履行,退款延遲",1,500,高中職以下,0
UID-511cbbff,2026-03-13 04:57:00,+886-905-787-956,"正常投資諮詢,理財規劃",1,500,50-69 中高齡,0
UID-07ce1ec0,2026-03-13 05:20:00,+886-902-110-815,"假員警,偵查不公開",2,3953801,70+ 長者,1
UID-c7ad6bf6,2026-03-12 14:59:00,+886-903-887-016,"假投資,虛擬貨幣,高報酬",14,1814807,上班族,1
UID-ff0ab063,2026-03-13 08:57:00,+886-904-522-043,"網路交友,要求儲值,點數卡",26,64420,上班族,1
UID-f6e0b0af,2026-03-12 22:39:00,+886-902-168-892,"假檢警,監管帳戶",3,5510626,50-69 中高齡,1
UID-87267a59,2026-03-12 19:40:00,+886-903-887-004,"假投資,保證獲利",17,401012,上班族,1
UID-ff064d89,2026-03-12 20:27:00,+886-902-178-624,"假扣押財產,面交黃金白銀",2,2974959,70+ 長者,1
UID-68bfd903,2026-03-13 03:56:00,+886-905-263-958,"債務不履行,退款延遲",1,500,上班族,0
UID-51a12bd9,2026-03-13 08:50:00,+886-902-171-438,"假檢警,監管帳戶",1,6762709,70+ 長者,1
UID-8557c3d1,2026-03-12 16:41:00,+886-904-346-040,"網路交友,AI濾鏡假冒",30,60501,上班族,1
UID-896c6982,2026-03-12 23:02:00,+886-901-188-025,"網路購物詐騙,假賣場",480,38360,學生,1
UID-e972485a,2026-03-12 12:24:00,+886-905-296-224,"正常投資諮詢,理財規劃",2,3000,70+ 長者,0
UID-1a98585f,2026-03-12 23:44:00,+886-905-174-938,"交易糾紛,商品瑕疵",2,3000,70+ 長者,0
UID-a18dd53e,2026-03-12 09:05:00,+886-999-999-999,"機器人測試,惡意灌水",14296,0,未知,0
UID-adedc0b7,2026-03-12 10:58:00,+886-903-884-005,"假投資,資金盤",7,173596,大專院校,1
UID-dde1b4cb,2026-03-12 11:18:00,+886-901-214-039,"網路購物詐騙,解除分期付款",452,21903,學生,1
UID-16e13459,2026-03-12 20:47:00,+886-901-123-041,"幽靈包裹,超商取貨",349,13222,學生,1
UID-89cfd88f,2026-03-12 21:33:00,+886-901-103-047,"網路購物詐騙,假賣場",156,42126,上班族,1
UID-3b0b33c0,2026-03-12 23:07:00,+886-901-421-041,"網路購物詐騙,ATM操作",169,18804,上班族,1
UID-d24338ae,2026-03-12 10:10:00,+886-905-661-507,"一般客訴,服務態度",2,3000,大專院校,0
UID-42ea4568,2026-03-13 02:41:00,+886-905-913-463,"交易糾紛,商品瑕疵",1,0,碩博士,0
UID-379a6ec1,2026-03-12 20:58:00,+886-904-102-034,"網路交友,AI濾鏡假冒",15,109998,學生,1
UID-795b2853,2026-03-12 15:52:00,+886-903-887-058,"假投資,保證獲利",16,1522939,上班族,1
UID-851b032a,2026-03-13 03:41:00,+886-904-498-008,"網路交友,AI濾鏡假冒",15,42592,碩博士,1
UID-c7d6cce5,2026-03-13 05:56:00,+886-904-992-039,"網路交友,要求儲值,點數卡",3,126483,碩博士,1
UID-763be375,2026-03-12 23:38:00,+886-901-322-033,"網路購物詐騙,ATM操作",319,17437,大專院校,1
UID-5ac1be45,2026-03-12 09:01:00,+886-999-999-999,"機器人測試,惡意灌水",12666,0,未知,0
UID-e1485110,2026-03-13 03:33:00,+886-904-823-046,"網路交友,要求儲值,點數卡",23,108550,上班族,1
UID-d00f43e6,2026-03-12 13:30:00,+886-902-101-359,"假檢警,監管帳戶",1,3721652,70+ 長者,1
UID-c4becd2b,2026-03-12 22:24:00,+886-903-887-079,"假投資,虛擬貨幣,高報酬",11,4598018,上班族,1
UID-7478f9ae,2026-03-13 00:26:00,+886-902-194-979,"假檢警,監管帳戶",1,5642641,70+ 長者,1
UID-03b1df79,2026-03-12 20:32:00,+886-903-884-055,"假投資,內線交易,VIP通道",10,122523,碩博士,1
UID-f795daf5,2026-03-12 16:13:00,+886-902-103-464,"假冒郵局,普發現金冒領",2,748826,70+ 長者,1
UID-34ef6863,2026-03-12 21:24:00,+886-902-197-941,"假冒郵局,普發現金冒領",1,5985323,70+ 長者,1
UID-0e2248ea,2026-03-13 07:51:00,+886-901-725-026,"網路購物詐騙,ATM操作",426,28480,高中職以下,1
UID-00505c55,2026-03-13 02:59:00,+886-904-183-092,"網路交友,AI濾鏡假冒",26,11053,碩博士,1
UID-22b90cea,2026-03-12 17:16:00,+886-905-707-760,"債務不履行,退款延遲",1,500,高中職以下,0
UID-af5a001d,2026-03-13 06:03:00,+886-903-886-026,"假投資,資金盤",17,2985762,50-69 中高齡,1
UID-343db4a2,2026-03-12 09:02:00,+886-902-130-428,"假冒郵局,普發現金冒領",2,5657207,70+ 長者,1
UID-5a7bdd59,2026-03-13 05:41:00,+886-901-521-013,"網路購物詐騙,解除分期付款",180,31426,高中職以下,1
UID-c290f830,2026-03-12 12:06:00,+886-901-669-044,"網路購物詐騙,ATM操作",185,35881,高中職以下,1
UID-308cf246,2026-03-12 20:13:00,+886-902-154-863,"假員警,偵查不公開",1,5654186,50-69 中高齡,1
UID-81d09bd8,2026-03-12 15:46:00,+886-902-141-328,"假檢警,監管帳戶",1,6893879,50-69 中高齡,1
UID-8ac9b873,2026-03-12 19:22:00,+886-903-883-063,"假投資,內線交易,VIP通道",8,997745,碩博士,1
UID-f3c93c67,2026-03-13 05:03:00,+886-902-188-655,"假冒郵局,普發現金冒領",3,5866184,70+ 長者,1
UID-6ebb8293,2026-03-12 16:31:00,+886-903-886-015,"假投資,內線交易,VIP通道",12,538330,碩博士,1
UID-17c45f1d,2026-03-13 05:09:00,+886-904-368-074,"網路交友,AI濾鏡假冒",10,49620,碩博士,1
UID-6aae017a,2026-03-12 16:52:00,+886-903-882-069,"假投資,保證獲利",10,2809758,碩博士,1
UID-7889e7ed,2026-03-12 21:21:00,+886-905-736-973,"正常投資諮詢,理財規劃",1,3000,70+ 長者,0
UID-8efb2d6e,2026-03-13 04:56:00,+886-904-539-038,"網路交友,AI濾鏡假冒",5,91605,上班族,1
UID-ccb8bbd2,2026-03-13 05:23:00,+886-903-885-043,"假投資,保證獲利",7,2565769,上班族,1
UID-de884e03,2026-03-12 09:18:00,+886-905-455-767,"司法文書送達,正常公務",1,0,學生,0
UID-7d0d9e1f,2026-03-12 13:40:00,+886-904-440-035,"殺豬盤,平台無法出金",11,103391,碩博士,1
UID-b258cbab,2026-03-12 11:53:00,+886-901-340-049,"網路購物詐騙,ATM操作",189,16848,學生,1
UID-1a7812cf,2026-03-12 20:38:00,+886-905-669-532,"一般客訴,服務態度",2,3000,上班族,0
UID-d7ce81c6,2026-03-13 05:02:00,+886-903-884-032,"假投資,保證獲利",18,3288404,碩博士,1
UID-ee0063d8,2026-03-12 16:47:00,+886-901-788-050,"網路購物詐騙,ATM操作",730,39205,大專院校,1
UID-4d8e97d0,2026-03-12 16:19:00,+886-905-685-994,"一般客訴,服務態度",2,0,學生,0
UID-cf3b17fe,2026-03-13 06:12:00,+886-905-558-558,"交易糾紛,商品瑕疵",1,0,大專院校,0
UID-836edfb0,2026-03-12 16:39:00,+886-903-888-059,"假投資,資金盤",17,4517568,50-69 中高齡,1
UID-f4d1ab0c,2026-03-12 22:44:00,+886-902-150-782,"假冒郵局,普發現金冒領",3,2448986,碩博士,1
UID-c1f2b13e,2026-03-12 15:27:00,+886-903-885-020,"假投資,虛擬貨幣,高報酬",10,489907,大專院校,1
UID-3d828b42,2026-03-12 18:07:00,+886-905-205-339,"司法文書送達,正常公務",1,3000,碩博士,0
UID-905194ff,2026-03-12 19:44:00,+886-901-153-022,"網路購物詐騙,假賣場",184,5839,學生,1
UID-f4d7c6b4,2026-03-13 07:49:00,+886-902-175-904,"假扣押財產,面交黃金白銀",3,7043700,70+ 長者,1
UID-308f0279,2026-03-13 05:59:00,+886-905-790-688,"交易糾紛,商品瑕疵",1,500,學生,0
UID-6d48fb7d,2026-03-12 23:39:00,+886-901-573-005,"網路購物詐騙,ATM操作",157,7615,大專院校,1
UID-ac8c1f82,2026-03-13 07:07:00,+886-905-402-421,"一般客訴,服務態度",2,15000,上班族,0
UID-a98420d6,2026-03-12 10:21:00,+886-904-688-066,"Threads廣告,假兼職",18,89040,碩博士,1
UID-e859a3c9,2026-03-12 14:00:00,+886-905-874-511,"司法文書送達,正常公務",2,500,70+ 長者,0
UID-ddd8b6f2,2026-03-12 22:15:00,+886-905-854-599,"交易糾紛,商品瑕疵",1,3000,學生,0
UID-905b2fdb,2026-03-12 17:24:00,+886-905-756-683,"司法文書送達,正常公務",1,0,高中職以下,0
UID-311d4621,2026-03-13 04:34:00,+886-905-667-723,"司法文書送達,正常公務",1,0,高中職以下,0
UID-ad7b4e96,2026-03-12 13:12:00,+886-904-190-087,"殺豬盤,平台無法出金",6,94761,上班族,1
UID-f7f51b56,2026-03-13 05:11:00,+886-903-880-064,"假投資,保證獲利",11,1523405,大專院校,1
UID-3b287e8f,2026-03-12 17:22:00,+886-905-483-492,"債務不履行,退款延遲",1,3000,學生,0
UID-7c2f81b3,2026-03-12 09:11:00,+886-905-530-580,"交易糾紛,商品瑕疵",2,500,學生,0
UID-1ab4fa77,2026-03-12 21:39:00,+886-901-203-031,"網路購物詐騙,解除分期付款",167,36816,大專院校,1
UID-2ed46616,2026-03-12 18:07:00,+886-905-707-857,"正常投資諮詢,理財規劃",1,0,上班族,0
UID-cefd18e5,2026-03-12 18:18:00,+886-905-651-368,"債務不履行,退款延遲",2,0,大專院校,0
UID-34158cbf,2026-03-12 18:34:00,+886-905-606-740,"司法文書送達,正常公務",1,3000,大專院校,0
UID-2fb40479,2026-03-13 01:59:00,+886-904-944-010,"網路交友,AI濾鏡假冒",10,113586,上班族,1
UID-bfa1768a,2026-03-12 11:16:00,+886-905-318-258,"一般客訴,服務態度",2,0,70+ 長者,0
UID-70a126fe,2026-03-13 01:43:00,+886-905-722-113,"一般客訴,服務態度",1,15000,50-69 中高齡,0
UID-d04320a2,2026-03-13 00:04:00,+886-902-188-353,"假員警,偵查不公開",3,5963744,50-69 中高齡,1
UID-164976d1,2026-03-13 04:51:00,+886-905-978-956,"交易糾紛,商品瑕疵",1,0,高中職以下,0
UID-aa8e5875,2026-03-12 18:57:00,+886-905-558-780,"債務不履行,退款延遲",2,3000,大專院校,0
UID-ed3dcf4e,2026-03-13 07:13:00,+886-903-880-080,"假投資,資金盤",16,1722756,大專院校,1
UID-49befdc5,2026-03-12 20:53:00,+886-902-123-666,"假檢警,監管帳戶",2,3824149,50-69 中高齡,1
UID-ef1eb5dc,2026-03-12 10:35:00,+886-904-810-011,"Threads廣告,假兼職",12,24438,學生,1
UID-b2c4edac,2026-03-13 04:16:00,+886-905-884-437,"正常投資諮詢,理財規劃",2,500,50-69 中高齡,0
UID-da36400a,2026-03-12 10:22:00,+886-902-153-477,"假冒郵局,普發現金冒領",2,533452,70+ 長者,1
UID-9f548f07,2026-03-12 11:34:00,+886-901-332-024,"網路購物詐騙,解除分期付款",180,26276,學生,1
UID-8160a602,2026-03-12 14:35:00,+886-903-881-064,"假投資,虛擬貨幣,高報酬",9,1936872,碩博士,1
UID-d96c53a9,2026-03-12 20:07:00,+886-905-346-670,"交易糾紛,商品瑕疵",1,0,碩博士,0
UID-6d2df054,2026-03-13 04:37:00,+886-903-880-064,"假投資,虛擬貨幣,高報酬",5,3931987,大專院校,1
UID-dbd4d5b3,2026-03-13 08:29:00,+886-903-889-029,"假投資,保證獲利",18,1191156,碩博士,1
UID-5d177156,2026-03-13 07:27:00,+886-904-852-060,"網路交友,要求儲值,點數卡",9,144239,大專院校,1
UID-fc1484c2,2026-03-12 16:12:00,+886-905-798-147,"司法文書送達,正常公務",1,3000,學生,0
UID-b3322267,2026-03-13 05:50:00,+886-903-882-017,"假投資,內線交易,VIP通道",18,1223343,碩博士,1
UID-d5f11734,2026-03-13 00:09:00,+886-901-662-034,"網路購物詐騙,ATM操作",1104,1843,上班族,1
UID-64bc57fb,2026-03-12 09:02:00,+886-999-999-999,"機器人測試,惡意灌水",13601,0,未知,0
UID-06d17322,2026-03-13 04:50:00,+886-905-788-630,"交易糾紛,商品瑕疵",1,500,碩博士,0
UID-fa773f55,2026-03-12 14:53:00,+886-902-172-472,"假員警,偵查不公開",2,4194138,50-69 中高齡,1
UID-2498beac,2026-03-12 23:38:00,+886-903-886-029,"假投資,虛擬貨幣,高報酬",13,1498929,碩博士,1
UID-8e4a9ca5,2026-03-12 13:38:00,+886-905-301-415,"司法文書送達,正常公務",2,0,50-69 中高齡,0
UID-573fb147,2026-03-12 12:41:00,+886-903-887-011,"假投資,保證獲利",15,3390488,大專院校,1
UID-e6e1ce4a,2026-03-12 09:07:00,+886-905-368-994,"債務不履行,退款延遲",1,500,70+ 長者,0
UID-523c56d6,2026-03-12 12:23:00,+886-902-120-573,"假檢警,監管帳戶",2,4219171,70+ 長者,1
UID-b0d4246e,2026-03-13 00:00:00,+886-905-160-158,"一般客訴,服務態度",1,15000,70+ 長者,0
UID-016eca77,2026-03-13 01:58:00,+886-904-313-053,"殺豬盤,平台無法出金",25,36244,學生,1
UID-4d46fd4a,2026-03-12 16:17:00,+886-905-803-286,"一般客訴,服務態度",2,15000,高中職以下,0
UID-f6ace49d,2026-03-12 15:59:00,+886-903-889-048,"假投資,資金盤",8,2329617,碩博士,1
UID-8f1c669a,2026-03-12 09:29:00,+886-902-147-456,"假檢警,監管帳戶",2,6753060,50-69 中高齡,1
UID-f0719935,2026-03-13 05:08:00,+886-903-884-066,"假投資,保證獲利",11,2552545,碩博士,1
UID-d0134876,2026-03-12 23:55:00,+886-903-889-036,"假投資,保證獲利",14,2115011,大專院校,1
UID-2484c559,2026-03-12 10:22:00,+886-903-880-091,"假投資,虛擬貨幣,高報酬",12,750598,碩博士,1
UID-aafdfa37,2026-03-12 15:57:00,+886-903-889-042,"假投資,內線交易,VIP通道",7,4966167,碩博士,1
UID-92fdb65b,2026-03-12 09:33:00,+886-905-947-116,"司法文書送達,正常公務",1,0,大專院校,0
UID-b3b5de9d,2026-03-12 09:32:00,+886-905-155-479,"正常投資諮詢,理財規劃",2,15000,上班族,0
UID-fcc94255,2026-03-12 18:49:00,+886-905-646-395,"交易糾紛,商品瑕疵",1,500,高中職以下,0
UID-49f55821,2026-03-12 20:00:00,+886-901-743-005,"網路購物詐騙,假賣場",394,28958,高中職以下,1
UID-b1ea9b8d,2026-03-13 04:18:00,+886-904-782-006,"網路交友,要求儲值,點數卡",23,55016,大專院校,1
UID-ec573d97,2026-03-12 12:34:00,+886-904-493-003,"網路交友,要求儲值,點數卡",5,37217,碩博士,1
UID-b4d7d7b3,2026-03-13 00:04:00,+886-903-882-071,"假投資,內線交易,VIP通道",5,4359849,碩博士,1
UID-02c222ad,2026-03-12 12:24:00,+886-905-169-709,"正常投資諮詢,理財規劃",2,15000,碩博士,0
UID-467ee61d,2026-03-13 04:30:00,+886-903-881-057,"假投資,虛擬貨幣,高報酬",18,2324835,上班族,1
UID-c160b1ee,2026-03-12 20:45:00,+886-905-547-853,"一般客訴,服務態度",2,3000,上班族,0
UID-8b59be1c,2026-03-13 02:03:00,+886-903-883-071,"假投資,內線交易,VIP通道",14,2508110,碩博士,1
UID-c53638af,2026-03-12 15:12:00,+886-903-882-054,"假投資,虛擬貨幣,高報酬",19,1965299,上班族,1
UID-2c6b1115,2026-03-12 12:54:00,+886-905-926-160,"交易糾紛,商品瑕疵",1,500,上班族,0
UID-9cc496bb,2026-03-13 04:20:00,+886-904-839-097,"網路交友,AI濾鏡假冒",14,137081,學生,1
UID-4a04be21,2026-03-13 02:30:00,+886-901-412-013,"網路購物詐騙,ATM操作",200,24612,高中職以下,1
UID-f91e67a3,2026-03-12 10:25:00,+886-902-106-538,"假扣押財產,面交黃金白銀",3,6162813,50-69 中高齡,1
UID-00abd361,2026-03-13 09:00:00,+886-904-399-099,"網路交友,要求儲值,點數卡",20,47191,上班族,1
UID-9d10c823,2026-03-13 07:51:00,+886-903-888-005,"假投資,資金盤",15,1220644,碩博士,1
UID-7c073594,2026-03-12 10:12:00,+886-902-151-231,"假檢警,監管帳戶",3,630315,70+ 長者,1
UID-ee4d1459,2026-03-12 09:37:00,+886-903-889-032,"假投資,虛擬貨幣,高報酬",17,3576450,碩博士,1
UID-f7e2a675,2026-03-13 02:40:00,+886-902-197-712,"假冒郵局,普發現金冒領",3,617218,碩博士,1
UID-5c750861,2026-03-12 10:04:00,+886-903-880-016,"假投資,保證獲利",17,1961356,碩博士,1
UID-28f115b7,2026-03-13 04:10:00,+886-905-561-382,"正常投資諮詢,理財規劃",2,500,50-69 中高齡,0
UID-21e8d7fb,2026-03-13 05:31:00,+886-905-746-290,"司法文書送達,正常公務",1,500,高中職以下,0
UID-87a9c152,2026-03-12 22:07:00,+886-905-102-847,"正常投資諮詢,理財規劃",1,15000,高中職以下,0
UID-18b84b70,2026-03-12 15:35:00,+886-904-885-017,"殺豬盤,平台無法出金",17,79665,上班族,1
UID-df0c960a,2026-03-12 18:03:00,+886-904-823-056,"網路交友,要求儲值,點數卡",18,66133,學生,1
UID-282a0c7a,2026-03-12 09:01:00,+886-999-999-999,"機器人測試,惡意灌水",12539,0,未知,0
UID-fa874cf4,2026-03-12 18:30:00,+886-904-860-031,"網路交友,要求儲值,點數卡",22,4087,上班族,1
UID-f5b97f29,2026-03-12 11:44:00,+886-903-880-040,"假投資,保證獲利",10,4014030,大專院校,1
UID-31c0966a,2026-03-13 01:26:00,+886-903-880-073,"假投資,資金盤",16,4378681,碩博士,1
UID-2d942aec,2026-03-12 22:58:00,+886-903-881-002,"假投資,資金盤",15,2464590,碩博士,1
UID-fe18f92e,2026-03-12 09:27:00,+886-903-888-027,"假投資,內線交易,VIP通道",16,2710794,上班族,1
UID-d191369a,2026-03-12 14:12:00,+886-902-156-146,"假檢警,監管帳戶",1,6495670,50-69 中高齡,1
UID-2472c0c6,2026-03-12 21:48:00,+886-905-485-933,"交易糾紛,商品瑕疵",1,0,上班族,0
UID-2f09909e,2026-03-12 17:20:00,+886-905-137-133,"一般客訴,服務態度",2,3000,高中職以下,0
UID-62d26592,2026-03-12 09:10:00,+886-999-999-999,"機器人測試,惡意灌水",13653,0,未知,0
UID-4f3fb6b8,2026-03-13 02:45:00,+886-904-745-026,"Threads廣告,假兼職",23,14953,大專院校,1
UID-46376a17,2026-03-12 16:59:00,+886-901-366-003,"幽靈包裹,超商取貨",182,23281,學生,1
UID-e81ae1cb,2026-03-12 16:50:00,+886-905-217-167,"司法文書送達,正常公務",1,3000,50-69 中高齡,0
UID-6550fe8c,2026-03-12 19:28:00,+886-905-564-995,"一般客訴,服務態度",1,0,高中職以下,0
UID-9dbf749c,2026-03-12 17:36:00,+886-903-889-082,"假投資,保證獲利",19,2404899,50-69 中高齡,1
UID-2fcdbda3,2026-03-13 02:30:00,+886-905-173-495,"交易糾紛,商品瑕疵",1,15000,高中職以下,0
UID-283cfbc7,2026-03-12 15:06:00,+886-903-881-034,"假投資,虛擬貨幣,高報酬",20,1544587,50-69 中高齡,1
UID-409fe8d3,2026-03-12 19:01:00,+886-903-884-014,"假投資,內線交易,VIP通道",12,1181312,碩博士,1
UID-fd57967d,2026-03-13 02:19:00,+886-905-669-843,"正常投資諮詢,理財規劃",1,3000,70+ 長者,0
UID-dd892272,2026-03-13 04:31:00,+886-905-763-241,"正常投資諮詢,理財規劃",2,0,學生,0
UID-596837a6,2026-03-13 01:33:00,+886-905-721-919,"交易糾紛,商品瑕疵",2,0,50-69 中高齡,0
UID-2d16841f,2026-03-13 05:23:00,+886-904-320-062,"殺豬盤,平台無法出金",5,109563,碩博士,1
UID-7ca715ba,2026-03-12 14:20:00,+886-904-340-019,"Threads廣告,假兼職",9,70919,碩博士,1
UID-6d2ae5f1,2026-03-12 17:40:00,+886-904-322-056,"殺豬盤,平台無法出金",26,130184,上班族,1
UID-ef7c2c25,2026-03-12 12:22:00,+886-901-604-016,"網路購物詐騙,假賣場",2322,29182,高中職以下,1
UID-c909cfa6,2026-03-13 00:19:00,+886-905-483-890,"一般客訴,服務態度",1,0,大專院校,0
UID-fd2abbd2,2026-03-13 02:38:00,+886-903-888-056,"假投資,保證獲利",15,1790213,碩博士,1
UID-c5c9ab62,2026-03-13 01:26:00,+886-902-186-789,"假員警,偵查不公開",3,1564085,50-69 中高齡,1
UID-76cbbe88,2026-03-12 20:47:00,+886-901-748-010,"網路購物詐騙,假賣場",201,37473,學生,1
UID-19d9c016,2026-03-13 05:27:00,+886-902-178-439,"假扣押財產,面交黃金白銀",3,868773,50-69 中高齡,1
UID-420e8bd6,2026-03-12 20:31:00,+886-905-667-210,"司法文書送達,正常公務",2,3000,碩博士,0
UID-f01c2c77,2026-03-12 11:27:00,+886-905-626-886,"一般客訴,服務態度",2,3000,50-69 中高齡,0
UID-f7aec241,2026-03-12 16:34:00,+886-902-104-520,"假冒郵局,普發現金冒領",3,6561410,50-69 中高齡,1
UID-7203e9b7,2026-03-12 11:17:00,+886-905-731-945,"司法文書送達,正常公務",2,15000,學生,0
UID-6012fad2,2026-03-12 18:35:00,+886-901-858-017,"網路購物詐騙,假賣場",323,33014,學生,1
UID-4c03e337,2026-03-13 00:19:00,+886-903-884-046,"假投資,虛擬貨幣,高報酬",11,2370261,上班族,1
UID-c2b59a49,2026-03-12 22:54:00,+886-904-671-018,"網路交友,要求儲值,點數卡",18,36120,上班族,1
